5 15:23:35 INFO  SparkHadoopMapRedUtil:58 - attempt_201711051523_0002_m_000004_7: Committed
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Finished task 9.0 in stage 2.0 (TID 12) in 33 ms on localhost (10/200)
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Getting 1 non-empty blocks out of 1 blocks
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Started 0 remote fetches in 1 ms
2017-11-05 15:23:36 INFO  FileOutputCommitter:439 - Saved output of task 'attempt_201711051523_0002_m_000010_13' to file:/var/folders/5b/l5cqfnmx16x0z42tz0z0dt5hnfcnkx/T/junit6147406587438984887/output/erroneous/_temporary/0/task_201711051523_0002_m_000010
2017-11-05 15:23:36 INFO  SparkHadoopMapRedUtil:58 - attempt_201711051523_0002_m_000010_13: Committed
2017-11-05 15:23:36 INFO  Executor:58 - Finished task 10.0 in stage 2.0 (TID 13). 2628 bytes result sent to driver
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Starting task 12.0 in stage 2.0 (TID 15, localhost, partition 12,NODE_LOCAL, 1918 bytes)
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Finished task 10.0 in stage 2.0 (TID 13) in 42 ms on localhost (11/200)
2017-11-05 15:23:36 INFO  Executor:58 - Running task 12.0 in stage 2.0 (TID 15)
2017-11-05 15:23:36 INFO  FileOutputCommitter:439 - Saved output of task 'attempt_201711051523_0002_m_000011_14' to file:/var/folders/5b/l5cqfnmx16x0z42tz0z0dt5hnfcnkx/T/junit6147406587438984887/output/erroneous/_temporary/0/task_201711051523_0002_m_000011
2017-11-05 15:23:36 INFO  SparkHadoopMapRedUtil:58 - attempt_201711051523_0002_m_000011_14: Committed
2017-11-05 15:23:36 INFO  Executor:58 - Finished task 11.0 in stage 2.0 (TID 14). 2628 bytes result sent to driver
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Starting task 13.0 in stage 2.0 (TID 16, localhost, partition 13,NODE_LOCAL, 1918 bytes)
2017-11-05 15:23:36 INFO  Executor:58 - Running task 13.0 in stage 2.0 (TID 16)
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Finished task 11.0 in stage 2.0 (TID 14) in 42 ms on localhost (12/200)
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Getting 1 non-empty blocks out of 1 blocks
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Started 0 remote fetches in 1 ms
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Getting 1 non-empty blocks out of 1 blocks
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Started 0 remote fetches in 0 ms
2017-11-05 15:23:36 INFO  FileOutputCommitter:439 - Saved output of task 'attempt_201711051523_0002_m_000012_15' to file:/var/folders/5b/l5cqfnmx16x0z42tz0z0dt5hnfcnkx/T/junit6147406587438984887/output/erroneous/_temporary/0/task_201711051523_0002_m_000012
2017-11-05 15:23:36 INFO  SparkHadoopMapRedUtil:58 - attempt_201711051523_0002_m_000012_15: Committed
2017-11-05 15:23:36 INFO  FileOutputCommitter:439 - Saved output of task 'attempt_201711051523_0002_m_000013_16' to file:/var/folders/5b/l5cqfnmx16x0z42tz0z0dt5hnfcnkx/T/junit6147406587438984887/output/erroneous/_temporary/0/task_201711051523_0002_m_000013
2017-11-05 15:23:36 INFO  SparkHadoopMapRedUtil:58 - attempt_201711051523_0002_m_000013_16: Committed
2017-11-05 15:23:36 INFO  Executor:58 - Finished task 12.0 in stage 2.0 (TID 15). 2628 bytes result sent to driver
2017-11-05 15:23:36 INFO  Executor:58 - Finished task 13.0 in stage 2.0 (TID 16). 2628 bytes result sent to driver
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Starting task 14.0 in stage 2.0 (TID 17, localhost, partition 14,NODE_LOCAL, 1918 bytes)
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Starting task 15.0 in stage 2.0 (TID 18, localhost, partition 15,NODE_LOCAL, 1918 bytes)
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Finished task 12.0 in stage 2.0 (TID 15) in 67 ms on localhost (13/200)
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Finished task 13.0 in stage 2.0 (TID 16) in 50 ms on localhost (14/200)
2017-11-05 15:23:36 INFO  Executor:58 - Running task 14.0 in stage 2.0 (TID 17)
2017-11-05 15:23:36 INFO  Executor:58 - Running task 15.0 in stage 2.0 (TID 18)
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Getting 1 non-empty blocks out of 1 blocks
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Started 0 remote fetches in 1 ms
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Getting 1 non-empty blocks out of 1 blocks
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Started 0 remote fetches in 1 ms
2017-11-05 15:23:36 INFO  FileOutputCommitter:439 - Saved output of task 'attempt_201711051523_0002_m_000015_18' to file:/var/folders/5b/l5cqfnmx16x0z42tz0z0dt5hnfcnkx/T/junit6147406587438984887/output/erroneous/_temporary/0/task_201711051523_0002_m_000015
